47.6433829, -122.2035348, 0.0, 20, 120, 0.0f, 21.358f
47.6433683, -122.2035151, 0.0, 20, 120, 0.0f, 14.276f
47.6433486, -122.2034891, 0.0, 20, 120, 0.0f, 22.358f
47.6433486, -122.2034891, 0.0, 20, 120, 0.0f, 22.358f
47.6434206, -122.2034891, 0.0, 20, 120, 0.0f, 30.0f
47.6434026, -122.2034891, 0.0, 20, 120, 0.0f, 21.213f
47.6635138, -122.3120177, 0.0, 20, 120, 0.0f, 45.84f
47.6648512, -122.3128866, 0.0, 20, 120, 0.0f, 24.0f
47.6648512, -122.3128866, 0.0, 20, 120, 0.0f, 24.0f
47.6648543, -122.3139451, 10.533929, 20, 120, 271.0f, 25.999f
47.6648544, -122.3139463, 10.522508, 20, 120, 271.0f, 18.404f
47.6649193, -122.3150591, 10.393003, 20, 120, 275.0f, 14.897f
47.6649198, -122.3150599, 10.383246, 20, 120, 275.0f, 10.578f
47.664912, -122.3156229, 10.571801, 20, 120, 270.0f, 8.918f
47.6649152, -122.3159804, 7.009218, 20, 120, 271.0f, 4.95f
47.6649154, -122.3159791, 6.9537144, 20, 120, 271.0f, 3.524f
47.6648883, -122.3161596, 4.05146, 20, 120, 259.0f, 8.588f
47.6648868, -122.3161531, 3.9174821, 20, 120, 258.0f, 6.22f
47.6649532, -122.316035, 2.6831853, 20, 120, 46.0f, 8.526f
47.6649819, -122.3159861, 1.417577, 20, 120, 44.0f, 6.714f
47.6649814, -122.3160208, 0.6681276, 20, 120, 282.0f, 8.178f
47.6649792, -122.3160273, 0.80759287, 20, 120, 274.0f, 6.07f
47.6649792, -122.3160273, 0.80759287, 20, 120, 274.0f, 6.07f
47.6649874, -122.3160211, 0.20050749, 20, 120, 0.0f, 5.863f
47.6649875, -122.3160199, 0.20598254, 20, 120, 0.0f, 4.198f
47.6649946, -122.3160143, 0.52460426, 20, 120, 12.0f, 5.742f
47.6649957, -122.3160141, 0.5615906, 20, 120, 11.0f, 4.155f
47.6649604, -122.3160301, 0.91780275, 20, 120, 198.0f, 8.528f
47.6649573, -122.3160314, 1.0007619, 20, 120, 197.0f, 6.203f
47.6649537, -122.3160334, 0.16175172, 20, 120, 0.0f, 5.913f
47.6649543, -122.3160382, 0.12311519, 20, 120, 0.0f, 4.902f
47.6649544, -122.3160383, 0.12425891, 20, 120, 0.0f, 3.51f
47.6649544, -122.3160388, 0.020040127, 20, 120, 0.0f, 5.724f
47.6649544, -122.3160386, 0.014947289, 20, 120, 0.0f, 4.15f
47.664942, -122.3168309, 13.871066, 20, 120, 269.0f, 6.758f
47.66495, -122.3171546, 7.942265, 20, 120, 273.0f, 3.95f
47.6649503, -122.3171521, 7.826658, 20, 120, 273.0f, 2.819f
47.6649828, -122.3175783, 10.799321, 20, 120, 277.0f, 5.711f
47.6649897, -122.3181925, 10.985881, 20, 120, 272.0f, 8.518f
47.6649875, -122.3181936, 10.980808, 20, 120, 271.0f, 6.193f
47.6649719, -122.3185285, 8.499807, 20, 120, 267.0f, 7.679f
47.6649721, -122.3192158, 12.774336, 20, 120, 270.0f, 9.405f
47.6649733, -122.3192322, 13.039056, 20, 120, 271.0f, 6.858f
47.6649733, -122.3192322, 13.039056, 20, 120, 271.0f, 6.858f
47.6650135, -122.320105, 8.695961, 20, 120, 275.0f, 8.498f
47.6650045, -122.3201876, 2.3698359, 20, 120, 267.0f, 6.792f
47.6650034, -122.3201765, 2.1584249, 20, 120, 266.0f, 4.885f
47.6650034, -122.3201765, 2.1584249, 20, 120, 266.0f, 4.885f
47.6649992, -122.3202734, 2.3911915, 20, 120, 267.0f, 8.509f
47.6649992, -122.3202741, 2.4005597, 20, 120, 267.0f, 6.194f
47.6649912, -122.3202514, 0.21505262, 20, 120, 0.0f, 9.596f
47.6649917, -122.3202359, 0.19707553, 20, 120, 0.0f, 7.771f
47.6649883, -122.3203033, 1.1878482, 20, 120, 266.0f, 11.792f
47.6649879, -122.3203109, 1.3234009, 20, 120, 266.0f, 8.744f
47.6649883, -122.3203855, 1.3847449, 20, 120, 270.0f, 6.868f
47.6649884, -122.3203857, 1.3834751, 20, 120, 270.0f, 4.911f
47.6649899, -122.3218203, 20.340353, 20, 120, 267.0f, 7.67f
47.664984, -122.3218563, 20.931665, 20, 120, 266.0f, 5.546f
47.664947, -122.3223203, 9.396485, 20, 120, 264.0f, 8.706f
47.6649475, -122.3222998, 8.974186, 20, 120, 264.0f, 6.27f
47.6649606, -122.3225122, 5.811017, 20, 120, 274.0f, 8.5f
47.6649554, -122.3223808, 1.4520442, 20, 120, 95.0f, 4.925f
47.6649551, -122.3223743, 1.5689993, 20, 120, 95.0f, 3.512f
47.6649546, -122.3223608, 0.36213812, 20, 120, 93.0f, 2.814f
47.6649564, -122.3223595, 0.07620166, 20, 120, 0.0f, 8.22f
47.6649566, -122.3223607, 0.0702691, 20, 120, 0.0f, 6.079f
47.6649527, -122.3223451, 0.12469106, 20, 120, 0.0f, 8.514f
47.6649525, -122.3223456, 0.12374349, 20, 120, 0.0f, 6.193f
47.6649516, -122.322345, 0.03656577, 20, 120, 0.0f, 5.875f
47.6649533, -122.3223457, 0.05662792, 20, 120, 0.0f, 6.746f
47.6649534, -122.3223457, 0.059931014, 20, 120, 0.0f, 4.865f
